reporter_id,provider_id,current_time,avg_rating_300,avg_rating_1000,avg_rating_3000,interaction_count_300,interaction_count_1000,interaction_count_3000,distance,same_type
0,7,1,,,,,,,0,0
0,4,92,,,,,,,0,1
0,6,92,,,,,,,0,0
0,7,92,-1.0,-1.0,-1.0,1.0,1.0,1.0,1094,0
0,4,183,-1.0,-1.0,-1.0,1.0,1.0,1.0,0,1
0,6,183,-1.0,-1.0,-1.0,1.0,1.0,1.0,804,0
0,3,364,,,,,,,385,0
0,4,364,-1.0,-1.0,-1.0,2.0,2.0,2.0,0,1
0,6,364,-1.0,-1.0,-1.0,2.0,2.0,2.0,795,0
0,1,455,,,,,,,0,0
0,2,636,,,,,,,0,0
0,3,636,-1.0,-1.0,-1.0,1.0,1.0,1.0,397,0
0,2,817,-1.0,-1.0,-1.0,1.0,1.0,1.0,262,0
0,5,817,,,,,,,642,0
0,4,908,,-1.0,-1.0,,3.0,3.0,0,1
4,7,991,,,,,,,0,0
0,1,999,,-1.0,-1.0,,1.0,1.0,0,0
0,1,1270,-1.0,-1.0,-1.0,1.0,2.0,2.0,131,0
0,4,1270,,-1.0,-1.0,,2.0,4.0,0,1
0,6,1270,,-1.0,-1.0,,1.0,3.0,789,0
0,1,1361,-1.0,-1.0,-1.0,1.0,3.0,3.0,0,0
0,4,1361,-1.0,-1.0,-1.0,1.0,3.0,5.0,541,1
0,6,1361,-1.0,-1.0,-1.0,1.0,2.0,4.0,0,0
6,1,1441,,,,,,,0,0
6,2,1441,,,,,,,534,1
6,4,1441,,,,,,,0,0
6,7,1441,,,,,,,0,0
0,4,1452,-1.0,-1.0,-1.0,2.0,3.0,6.0,530,1
0,5,1452,,-1.0,-1.0,,1.0,1.0,0,0
0,6,1452,-1.0,-1.0,-1.0,2.0,2.0,5.0,800,0
0,7,1452,,,-1.0,,,2.0,1074,0
0,1,1543,-1.0,-1.0,-1.0,2.0,3.0,4.0,0,0
0,4,1543,-0.4479031560743623,-0.5859273670557718,-0.7633870668890124,3.0,4.0,7.0,0,1
0,6,1543,-0.5062689148292261,-0.5062689148292261,-0.753134457414613,3.0,3.0,6.0,813,0
0,4,1814,-1.0,-0.6687418936446174,-0.7929636835278859,1.0,5.0,8.0,544,1
0,6,1814,-1.0,-0.6297016861219196,-0.7884009634982397,1.0,4.0,7.0,0,0
0,7,1814,,0.3035019455252918,-0.5654993514915694,,1.0,3.0,0,0
0,1,1995,,-1.0,-1.0,,4.0,5.0,136,0
0,2,1995,,,-1.0,,,2.0,286,0
0,3,1995,,,-1.0,,,2.0,406,0
0,4,1995,-1.0,-0.6687418936446174,-0.8159677186914541,1.0,5.0,9.0,545,1
0,1,2266,-1.0,-1.0,-1.0,1.0,4.0,6.0,137,0
0,2,2266,-1.0,-1.0,-1.0,1.0,1.0,3.0,0,0
0,4,2266,-1.0,-0.7239515780371812,-0.8343709468223087,1.0,6.0,10.0,546,1
0,5,2357,,1.0,0.0,,1.0,2.0,0,0
0,6,2357,,-0.6297016861219196,-0.8148508430609598,,4.0,8.0,800,0
0,7,2357,,-0.34824902723735407,-0.6741245136186771,,2.0,4.0,1064,0
0,1,2448,-1.0,-1.0,-1.0,1.0,3.0,7.0,0,0
0,3,2448,,-1.0,-1.0,,1.0,3.0,0,0
0,4,2448,-1.0,-0.6687418936446174,-0.8494281334748262,1.0,5.0,11.0,0,1
0,6,2448,-1.0,-0.6297016861219196,-0.835422971609742,1.0,4.0,9.0,818,0
0,1,2719,1.0,-0.3333333333333333,-0.75,1.0,3.0,8.0,140,0
0,2,2719,,-1.0,-1.0,,2.0,4.0,290,0
0,4,2719,1.0,-0.5,-0.695309122351924,1.0,4.0,12.0,549,1
0,7,2719,,-1.0,-0.7392996108949417,,2.0,5.0,940,0
0,6,2810,,-0.5101599654128837,-0.7049286640726329,,3.0,10.0,800,0
0,5,2901,,-1.0,-0.3333333333333333,,1.0,3.0,0,0
0,6,2901,-1.0,-0.5101599654128837,-0.7317533309751209,1.0,3.0,11.0,0,0
0,7,2901,-1.0,-1.0,-0.7827496757457847,1.0,2.0,6.0,0,0
0,1,3082,,-0.3333333333333333,-0.7777777777777778,,3.0,9.0,0,0
0,4,3082,,-0.3333333333333333,-0.7187468821710067,,3.0,13.0,0,1
0,6,3082,-1.0,-0.6326199740596627,-0.7541072200605274,2.0,4.0,12.0,0,0
0,3,3173,,1.0,-0.5,,1.0,4.0,414,0
0,6,3173,-1.0,-0.7060959792477302,-0.7541072200605274,2.0,5.0,12.0,0,0
0,3,3264,-1.0,0.0,-0.6,1.0,2.0,5.0,520,0
0,6,3264,-1.0,-0.7550799827064418,-0.7541072200605274,2.0,6.0,12.0,0,0
0,3,3355,-1.0,-0.3333333333333333,-0.6666666666666666,2.0,3.0,6.0,0,0
0,4,3355,-1.0,-0.3333333333333333,-0.695309122351924,1.0,3.0,12.0,0,1
0,4,3536,-1.0,-1.0,-0.695309122351924,1.0,3.0,12.0,0,1
0,5,3536,,-1.0,-0.5,,1.0,4.0,0,0
0,6,3536,-1.0,-1.0,-0.7541072200605274,1.0,5.0,12.0,774,0
2,0,3601,,,,,,,246,0
2,6,3601,,,,,,,531,1
2,7,3601,,,,,,,0,0
0,3,3627,-1.0,-1.0,-0.6666666666666666,1.0,3.0,6.0,0,0
0,4,3627,-1.0,-1.0,-0.7187468821710067,2.0,4.0,13.0,557,1
4,0,3962,,,,,,,0,1
4,7,3962,,,1.0,,,1.0,0,0
0,2,4078,,,-1.0,,,3.0,298,0
0,3,4078,,-1.0,-0.6666666666666666,,4.0,6.0,0,0
0,4,4078,,-1.0,-0.7187468821710067,,4.0,13.0,557,1
0,5,4078,,-1.0,-0.5,,1.0,4.0,679,0
0,3,4169,-1.0,-1.0,-0.7142857142857143,1.0,5.0,7.0,510,0
1,3,4411,,,,,,,0,0
1,4,4411,,,,,,,0,0
1,6,4411,,,,,,,0,0
0,1,4440,,,-0.6666666666666666,,,6.0,150,0
0,6,4440,,-1.0,-0.7317533309751209,,1.0,11.0,770,0
0,1,4531,-1.0,-1.0,-0.7142857142857143,1.0,1.0,7.0,0,0
0,4,4531,,-1.0,-0.8181818181818182,,3.0,11.0,0,1
0,7,4531,,,-1.0,,,4.0,952,0
0,3,4622,,-1.0,-0.75,,3.0,8.0,0,0
0,4,4622,-1.0,-1.0,-0.8181818181818182,1.0,3.0,11.0,530,1
0,5,4622,,-1.0,-1.0,,1.0,4.0,764,0
0,4,4893,-1.0,-1.0,-0.8181818181818182,1.0,3.0,11.0,0,1
0,1,5074,,-1.0,-0.6666666666666666,,2.0,6.0,0,0
0,4,5074,-1.0,-1.0,-0.8181818181818182,1.0,4.0,11.0,530,1
0,4,5165,-1.0,-1.0,-0.8333333333333334,2.0,4.0,12.0,0,1
0,5,5165,,-1.0,-1.0,,1.0,5.0,686,0
0,6,5165,,-1.0,-0.8367199884709612,,1.0,9.0,835,0
5,2,5401,,,,,,,0,0
0,1,5436,,-1.0,-0.6666666666666666,,3.0,6.0,0,0
0,4,5436,1.0,-0.6,-0.6666666666666666,1.0,5.0,12.0,565,1
0,2,5527,,,-1.0,,,2.0,270,0
0,4,5527,-1.0,-0.6666666666666666,-0.8333333333333334,1.0,6.0,12.0,530,1
0,5,5527,,-0.22243839169909208,-0.6889753566796368,,2.0,5.0,0,0
0,4,5618,-1.0,-0.6666666666666666,-0.8461538461538461,2.0,6.0,13.0,567,1
0,1,5889,,-1.0,-1.0,,2.0,5.0,0,0
0,4,5889,-1.0,-0.6666666666666666,-0.8461538461538461,1.0,6.0,13.0,568,1
0,6,5889,,0.4584954604409857,-0.7916435056512877,,1.0,7.0,0,0
2,0,5942,,,0.8404669260700389,,,1.0,0,0
2,5,5942,,,,,,,0,0
2,6,5942,,,0.6556420233463035,,,1.0,0,1
0,1,6070,-1.0,-1.0,-1.0,1.0,3.0,6.0,160,0
0,2,6070,,-1.0,-1.0,,1.0,2.0,309,0
0,7,6070,,,-1.0,,,1.0,0,0
3,0,6211,,,,,,,428,0
3,1,6211,,,,,,,0,0
3,2,6211,,,,,,,0,0
0,6,6251,,-1.0,-0.7083009079118028,,1.0,5.0,759,0
5,0,6302,,,,,,,612,0
5,7,6302,,,,,,,273,0
0,4,6342,,-1.0,-0.8461538461538461,,4.0,13.0,0,1
0,5,6342,,-1.0,-0.6889753566796368,,1.0,5.0,691,0
0,6,6342,-1.0,-1.0,-0.7083009079118028,1.0,2.0,5.0,842,0
0,7,6342,-1.0,-1.0,-1.0,1.0,1.0,2.0,963,0
4,0,6393,,,1.0,,,1.0,0,1
4,2,6393,,,,,,,0,0
4,3,6393,,,,,,,560,0
4,5,6393,,,,,,,0,0
0,1,6433,,-1.0,-1.0,,3.0,6.0,300,0
0,4,6433,-1.0,-1.0,-0.8461538461538461,1.0,5.0,13.0,530,1
0,6,6433,-1.0,-1.0,-0.7569174232598357,2.0,3.0,6.0,800,0
0,7,6433,-1.0,-1.0,-1.0,1.0,2.0,3.0,0,0
0,2,6524,,-1.0,-1.0,,2.0,3.0,313,0
0,3,6524,,,-1.0,,,4.0,434,0
0,4,6524,-1.0,-1.0,-0.8571428571428571,2.0,5.0,14.0,0,1
0,5,6524,-1.0,-1.0,-0.7408127972330307,1.0,2.0,6.0,693,0
0,4,6795,-1.0,-1.0,-0.8461538461538461,1.0,4.0,13.0,0,1
0,5,6795,-1.0,-1.0,-0.7408127972330307,1.0,2.0,6.0,694,0
0,7,6795,,-1.0,-1.0,,3.0,4.0,0,0
0,1,6886,,-1.0,-1.0,,3.0,7.0,0,0
0,2,6886,,-1.0,-1.0,,2.0,4.0,0,0
0,4,6886,-1.0,-1.0,-0.8571428571428571,1.0,5.0,14.0,0,1
0,7,6886,-1.0,-1.0,-1.0,1.0,4.0,5.0,1006,0
0,3,6977,,-1.0,-1.0,,1.0,4.0,0,0
0,4,6977,-1.0,-1.0,-0.8666666666666667,2.0,5.0,15.0,575,1
0,5,6977,-1.0,-1.0,-0.7778395404854549,1.0,3.0,7.0,696,0
0,1,7248,,-1.0,-1.0,,2.0,8.0,0,0
0,2,7248,,-1.0,-1.0,,2.0,4.0,0,0
0,3,7248,-1.0,-1.0,-1.0,1.0,2.0,3.0,438,0
0,4,7248,-1.0,-1.0,-0.8666666666666667,1.0,6.0,15.0,576,1
0,2,7339,-1.0,-1.0,-1.0,1.0,3.0,5.0,0,0
0,4,7430,-1.0,-1.0,-0.875,1.0,6.0,16.0,0,1
0,5,7430,,-1.0,-0.7778395404854549,,3.0,7.0,0,0
0,6,7430,,-1.0,-0.7569174232598357,,1.0,6.0,0,0
0,7,7430,,-1.0,-1.0,,3.0,6.0,971,0
7,5,7651,,,,,,,270,0
0,1,7701,,-1.0,-1.0,,2.0,7.0,171,0
0,4,7701,-1.0,-1.0,-0.8666666666666667,1.0,5.0,15.0,579,1
0,6,7701,-1.0,-1.0,-0.7569174232598357,1.0,1.0,6.0,851,0
0,7,7701,-1.0,-1.0,-1.0,1.0,3.0,6.0,0,0
0,1,7792,-1.0,-1.0,-1.0,1.0,3.0,8.0,0,0
0,2,7792,,-1.0,-1.0,,3.0,6.0,270,0
0,4,7792,-1.0,-1.0,-0.875,1.0,6.0,16.0,530,1
0,7,7792,-1.0,-1.0,-1.0,1.0,4.0,7.0,0,0
3,4,8012,,,,,,,380,0
3,5,8012,,,,,,,259,0
3,7,8012,,,,,,,528,1
0,4,8063,-1.0,-1.0,-0.875,1.0,4.0,16.0,479,1
6,2,8102,,,,,,,531,1
6,3,8102,,,,,,,651,0
6,4,8102,,,,,,,270,0
6,5,8102,,,,,,,0,0
0,4,8154,-1.0,-1.0,-0.875,1.0,5.0,16.0,0,1
0,7,8154,,-1.0,-1.0,,3.0,8.0,974,0
0,3,8245,,-1.0,-1.0,,1.0,3.0,0,0
0,1,8336,,-1.0,-1.0,,2.0,8.0,0,0
0,2,8336,,-1.0,-1.0,,2.0,7.0,325,0
0,3,8336,-1.0,-1.0,-1.0,1.0,1.0,4.0,445,0
0,4,8336,-1.0,-1.0,-1.0,2.0,5.0,16.0,584,1
0,4,8697,,-1.0,-1.0,,5.0,14.0,0,1
0,5,8697,,,-1.0,,,5.0,718,0
0,7,8697,,-1.0,-1.0,,3.0,9.0,986,0
4,1,8734,,,,,,,0,0
4,6,8734,,,,,,,273,0
4,7,8734,,,,,,,394,0
0,1,8788,,-1.0,-1.0,,2.0,8.0,0,0
0,3,8788,,-1.0,-1.0,,2.0,5.0,447,0
0,4,8788,1.0,-0.6,-0.8666666666666667,1.0,5.0,15.0,585,1
0,2,9059,,-1.0,-1.0,,1.0,7.0,328,0
0,4,9059,-1.0,-0.6,-0.8666666666666667,1.0,5.0,15.0,0,1
0,7,9059,,-0.31971465629053175,-0.8639429312581063,,2.0,10.0,0,0
0,3,9150,,-1.0,-1.0,,3.0,6.0,0,0
